"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"ndp","Canadian citizen",39,"A woman","Some secondary/ high school","Working for pay full-time",85000,"Living with a partner","Manitoba"
"Conservative Party","Canadian citizen",68,"A man","Some technical, community college, CEGEP, College Classique","Retired",160000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",69,"A man","Some university","Retired",52000,"Married","Ontario"
"Liberal Party","Canadian citizen",66,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",180000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",30,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",150000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",56,"A man","Bachelor's degree","Working for pay full-time",2e+05,"Married","Quebec"
"Liberal Party","Canadian citizen",18,"A man","Completed secondary/ high school","Unemployed/ looking for work",25000,"Living with a partner","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",58,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",49000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",74,"A man","Some university","Retired",71000,"Married","British Columbia"
"Liberal Party","Canadian citizen",38,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",890000,"Living with a partner","Quebec"
"Bloc Québécois","Canadian citizen",43,"A woman","Completed secondary/ high school","Working for pay full-time",98000,"Married","Quebec"
"Green Party","Canadian citizen",31,"A woman","Completed secondary/ high school","Caring for a family",0,"Never Married","Ontario"
"ndp","Canadian citizen",60,"A woman","No schooling","Working for pay full-time",80000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",75,"A man","Some technical, community college, CEGEP, College Classique","Retired",45001,"Living with a partner","Manitoba"
"Conservative Party","Canadian citizen",35,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",77000,"Married","Ontario"
"Liberal Party","Canadian citizen",32,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",55000,"Never Married","Ontario"
"ndp","Canadian citizen",75,"A woman","Some university","Retired",42000,"Married","British Columbia"
"Liberal Party","Canadian citizen",59,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",80000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",37,"A woman","Professional degree or doctorate","Working for pay part-time",95000,"Married","Ontario"
"Conservative Party","Canadian citizen",68,"A man","Master's degree","Retired",72000,"Married","Ontario"
"Conservative Party","Canadian citizen",71,"A woman","Completed secondary/ high school","Retired",12000,"Married","Ontario"
"Conservative Party","Canadian citizen",75,"A man","Some technical, community college, CEGEP, College Classique","Retired",75000,"Married","Ontario"
"Liberal Party","Canadian citizen",41,"A woman","Bachelor's degree","Working for pay full-time",125000,"Married","British Columbia"
"ndp","Canadian citizen",45,"A woman","Bachelor's degree","Working for pay full-time",64000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",69,"A woman","Bachelor's degree","Working for pay part-time",65000,"Divorced","Quebec"
"Liberal Party","Canadian citizen",42,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",90000,"Married","Quebec"
"Liberal Party","Canadian citizen",22,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",70000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",23,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",100,"Divorced","Ontario"
"Liberal Party","Canadian citizen",39,"A woman","Some university","Working for pay full-time",130000,"Married","Ontario"
"ndp","Canadian citizen",51,"A woman","Master's degree","Working for pay full-time",65000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",58,"A woman","Completed secondary/ high school","Retired",70000,"Widowed","Ontario"
"ndp","Canadian citizen",25,"A woman","Master's degree","Working for pay full-time",82000,"Living with a partner","Ontario"
"ndp","Canadian citizen",48,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",95000,"Married","British Columbia"
"People's Party","Canadian citizen",33,"A woman","Some secondary/ high school","Working for pay part-time",3500,"Separated","Nova Scotia"
"ndp","Canadian citizen",45,"A woman","Some university","Working for pay full-time",258000,"Married","Quebec"
"ndp","Canadian citizen",35,"A woman","Some secondary/ high school","Disabled",99950,"Never Married","Alberta"
"ndp","Canadian citizen",33,"A man","Some technical, community college, CEGEP, College Classique","Caring for a family",15000,"Separated","British Columbia"
"Green Party","Canadian citizen",86,"A man","Completed secondary/ high school","Retired",35000,"Widowed","Ontario"
"Conservative Party","Canadian citizen",29,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",80000,"Never Married","Alberta"
"Bloc Québécois","Canadian citizen",55,"A woman","Master's degree","Working for pay full-time",55000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",23,"A man","Bachelor's degree","Self employed (with or without employees)",14000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",45,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",85000,"Divorced","Manitoba"
"Conservative Party","Canadian citizen",54,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",120000,"Married","Ontario"
"People's Party","Canadian citizen",44,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",54000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",22,"A woman","Completed secondary/ high school","Other (please specify)",28000,"Never Married","Saskatchewan"
"Liberal Party","Canadian citizen",23,"A woman","Bachelor's degree","Working for pay full-time",150000,"Living with a partner","British Columbia"
"Conservative Party","Canadian citizen",48,"A woman","Bachelor's degree","Working for pay part-time",120000,"Married","British Columbia"
"Green Party","Canadian citizen",18,"A woman","Completed secondary/ high school","Working for pay part-time",10000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",45,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",79000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",39,"A woman","Bachelor's degree","Self employed (with or without employees)",52000,"Married","Saskatchewan"
"Bloc Québécois","Canadian citizen",66,"A man","Completed secondary/ high school","Self employed (with or without employees)",30000,"Living with a partner","Quebec"
"Green Party","Canadian citizen",66,"A man","Some technical, community college, CEGEP, College Classique","Retired",88000,"Married","Ontario"
"Liberal Party","Canadian citizen",34,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",84000,"Never Married","Ontario"
"ndp","Canadian citizen",43,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",32000,"Never Married","Saskatchewan"
"Conservative Party","Canadian citizen",44,"A woman","Bachelor's degree","Working for pay full-time",94000,"Married","Ontario"
"Liberal Party","Canadian citizen",70,"A woman","Some university","Retired",90000,"Married","Ontario"
"Liberal Party","Canadian citizen",60,"A woman","Completed secondary/ high school","Caring for a family",43000,"Married","Ontario"
"ndp","Canadian citizen",55,"A man","Some secondary/ high school","Working for pay full-time",42000,"Never Married","Saskatchewan"
"Conservative Party","Canadian citizen",25,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",40000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",59,"A woman","Master's degree","Working for pay full-time",16000,"Married","New Brunswick"
"ndp","Canadian citizen",52,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",1e+05,"Married","Manitoba"
"Conservative Party","Canadian citizen",41,"A woman","Master's degree","Working for pay full-time",110000,"Separated","British Columbia"
"ndp","Canadian citizen",19,"A woman","Some university","Student and working for pay",48000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",36,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",85000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",32,"A man","Bachelor's degree","Working for pay full-time",87000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",58,"A woman","Bachelor's degree","Working for pay full-time",250000,"Married","Ontario"
"Green Party","Canadian citizen",58,"A man","Some university","Working for pay full-time",120000,"Married","Quebec"
"Liberal Party","Canadian citizen",65,"A man","Bachelor's degree","Working for pay full-time",79000,"Married","Alberta"
"Liberal Party","Canadian citizen",53,"A woman","Some secondary/ high school","Working for pay full-time",35000,"Widowed","Quebec"
"Conservative Party","Canadian citizen",61,"A man","Some university","Working for pay full-time",250000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",49,"A man","Some university","Working for pay full-time",155000,"Living with a partner","Ontario"
"ndp","Canadian citizen",37,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Master's degree","Working for pay full-time",135000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",71,"A man","Completed technical, community college, CEGEP, College Classique","Retired",75000,"Widowed","Ontario"
